INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,SE,FLAG
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2007,8,18-44 years,1.2,335440.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2008,9,18-44 years,1.2,328438.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2009,10,18-44 years,1.2,341209.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2010,11,18-44 years,1.2,342797.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,18-44 years,1.2,2011,12,18-44 years,1.2,333427.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2000,1,45-64 years,1.3,255894.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2001,2,45-64 years,1.3,300567.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2002,3,45-64 years,1.3,308627.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2003,4,45-64 years,1.3,301558.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2004,5,45-64 years,1.3,307736.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2005,6,45-64 years,1.3,328564.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2006,7,45-64 years,1.3,310667.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2007,8,45-64 years,1.3,334088.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2008,9,45-64 years,1.3,341595.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2009,10,45-64 years,1.3,374775.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2010,11,45-64 years,1.3,352001.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-64 years,1.3,2011,12,45-64 years,1.3,353591.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2000,1,45-54 years,1.31,142233.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2001,2,45-54 years,1.31,165321.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2002,3,45-54 years,1.31,169871.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2003,4,45-54 years,1.31,164431.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2004,5,45-54 years,1.31,160023.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2005,6,45-54 years,1.31,170674.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2006,7,45-54 years,1.31,164692.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2007,8,45-54 years,1.31,170514.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2008,9,45-54 years,1.31,169674.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2009,10,45-54 years,1.31,190701.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2010,11,45-54 years,1.31,171039.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,45-54 years,1.31,2011,12,45-54 years,1.31,173334.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2000,1,55-64 years,1.32,113661.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2001,2,55-64 years,1.32,135247.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2002,3,55-64 years,1.32,138756.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2003,4,55-64 years,1.32,137126.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2004,5,55-64 years,1.32,147712.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2005,6,55-64 years,1.32,157890.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2006,7,55-64 years,1.32,145975.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2007,8,55-64 years,1.32,163574.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2008,9,55-64 years,1.32,171921.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2009,10,55-64 years,1.32,184074.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2010,11,55-64 years,1.32,180962.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,55-64 years,1.32,2011,12,55-64 years,1.32,180258.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2000,1,65 years and over,1.4,231014.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2001,2,65 years and over,1.4,279548.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2002,3,65 years and over,1.4,272919.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2003,4,65 years and over,1.4,258206.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2004,5,65 years and over,1.4,262734.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2005,6,65 years and over,1.4,278272.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2006,7,65 years and over,1.4,263649.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2007,8,65 years and over,1.4,289675.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2008,9,65 years and over,1.4,294054.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2009,10,65 years and over,1.4,314428.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2010,11,65 years and over,1.4,298362.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65 years and over,1.4,2011,12,65 years and over,1.4,298642.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2000,1,65-74 years,1.41,116505.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2001,2,65-74 years,1.41,136819.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2002,3,65-74 years,1.41,132116.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2003,4,65-74 years,1.41,120655.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2004,5,65-74 years,1.41,126802.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2005,6,65-74 years,1.41,133334.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2006,7,65-74 years,1.41,124089.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2007,8,65-74 years,1.41,142528.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2008,9,65-74 years,1.41,144878.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2009,10,65-74 years,1.41,153884.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2010,11,65-74 years,1.41,151075.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,65-74 years,1.41,2011,12,65-74 years,1.41,151970.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2000,1,75 years and over,1.42,114510.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2001,2,75 years and over,1.42,142729.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2002,3,75 years and over,1.42,140802.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2003,4,75 years and over,1.42,137552.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2004,5,75 years and over,1.42,135931.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2005,6,75 years and over,1.42,144938.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2006,7,75 years and over,1.42,139560.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2007,8,75 years and over,1.42,147147.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2008,9,75 years and over,1.42,149177.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2009,10,75 years and over,1.42,160544.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2010,11,75 years and over,1.42,147287.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,Number of visits in thousands,1,Age,1,75 years and over,1.42,2011,12,75 years and over,1.42,146672.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2000,1,All ages,0.1,374.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2001,2,All ages,0.1,410.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2002,3,All ages,0.1,410.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2003,4,All ages,0.1,391.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2004,5,All ages,0.1,383.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2005,6,All ages,0.1,400.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2006,7,All ages,0.1,380.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2007,8,All ages,0.1,402.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2008,9,All ages,0.1,393.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2009,10,All ages,0.1,414.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2010,11,All ages,0.1,401.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Total,0,All persons,0.1,2011,12,All ages,0.1,400.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2000,1,All ages,0.1,325.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2001,2,All ages,0.1,356.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2002,3,All ages,0.1,353.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2003,4,All ages,0.1,338.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2004,5,All ages,0.1,334.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2005,6,All ages,0.1,352.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2006,7,All ages,0.1,328.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2007,8,All ages,0.1,351.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2008,9,All ages,0.1,334.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2009,10,All ages,0.1,358.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2010,11,All ages,0.1,350.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Male,2.1,2011,12,All ages,0.1,354.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2000,1,All ages,0.1,420.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2001,2,All ages,0.1,463.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2002,3,All ages,0.1,465.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2003,4,All ages,0.1,442.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2004,5,All ages,0.1,431.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2005,6,All ages,0.1,445.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2006,7,All ages,0.1,431.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2007,8,All ages,0.1,452.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2008,9,All ages,0.1,451.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2009,10,All ages,0.1,469.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2010,11,All ages,0.1,452.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Sex,2,Female,2.3,2011,12,All ages,0.1,444.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2000,1,All ages,0.1,380.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2001,2,All ages,0.1,428.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2002,3,All ages,0.1,421.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2003,4,All ages,0.1,399.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2004,5,All ages,0.1,389.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2005,6,All ages,0.1,413.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2006,7,All ages,0.1,384.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2007,8,All ages,0.1,398.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2008,9,All ages,0.1,395.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2009,10,All ages,0.1,421.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2010,11,All ages,0.1,408.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,White,4.1,2011,12,All ages,0.1,411.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,Black or African American,4.3,2000,1,All ages,0.1,353.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,Black or African American,4.3,2001,2,All ages,0.1,357.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,Black or African American,4.3,2002,3,All ages,0.1,427.0,,
"Visits to physician offices, hospital outpatient departments, and hospital emergency departments",All places,1,"Number of visits per 100 persons, age-adjusted",2,Race,4,Black or African American,4.3,2003,4,All ages,0.1,393.0,,
